	s0	s1	s10	s100	s1000	s1001	s1002	s1003	s1004	s1005	s1006	s1007	s1008	s1009	s101	s1010	s1011	s1012	s1013	s1014	s1015	s1016	s1017	s1018	s1019	s102	s1020	s1021	s1022	s1023	s103	s104	s105	s106	s107	s108	s109	s11	s110	s111	s112	s113	s114	s115	s116	s117	s118	s119	s12	s120	s121	s122	s123	s124	s125	s126	s127	s128	s129	s13	s130	s131	s132	s133	s134	s135	s136	s137	s138	s139	s14	s140	s141	s142	s143	s144	s145	s146	s147	s148	s149	s15	s150	s151	s152	s153	s154	s155	s156	s157	s158	s159	s16	s160	s161	s162	s163	s164	s165	s166	s167	s168	s169	s17	s170	s171	s172	s173	s174	s175	s176	s177	s178	s179	s18	s180	s181	s182	s183	s184	s185	s186	s187	s188	s189	s19	s190	s191	s192	s193	s194	s195	s196	s197	s198	s199	s2	s20	s200	s201	s202	s203	s204	s205	s206	s207	s208	s209	s21	s210	s211	s212	s213	s214	s215	s216	s217	s218	s219	s22	s220	s221	s222	s223	s224	s225	s226	s227	s228	s229	s23	s230	s231	s232	s233	s234	s235	s236	s237	s238	s239	s24	s240	s241	s242	s243	s244	s245	s246	s247	s248	s249	s25	s250	s251	s252	s253	s254	s255	s256	s257	s258	s259	s26	s260	s261	s262	s263	s264	s265	s266	s267	s268	s269	s27	s270	s271	s272	s273	s274	s275	s276	s277	s278	s279	s28	s280	s281	s282	s283	s284	s285	s286	s287	s288	s289	s29	s290	s291	s292	s293	s294	s295	s296	s297	s298	s299	s3	s30	s300	s301	s302	s303	s304	s305	s306	s307	s308	s309	s31	s310	s311	s312	s313	s314	s315	s316	s317	s318	s319	s32	s320	s321	s322	s323	s324	s325	s326	s327	s328	s329	s33	s330	s331	s332	s333	s334	s335	s336	s337	s338	s339	s34	s340	s341	s342	s343	s344	s345	s346	s347	s348	s349	s35	s350	s351	s352	s353	s354	s355	s356	s357	s358	s359	s36	s360	s361	s362	s363	s364	s365	s366	s367	s368	s369	s37	s370	s371	s372	s373	s374	s375	s376	s377	s378	s379	s38	s380	s381	s382	s383	s384	s385	s386	s387	s388	s389	s39	s390	s391	s392	s393	s394	s395	s396	s397	s398	s399	s4	s40	s400	s401	s402	s403	s404	s405	s406	s407	s408	s409	s41	s410	s411	s412	s413	s414	s415	s416	s417	s418	s419	s42	s420	s421	s422	s423	s424	s425	s426	s427	s428	s429	s43	s430	s431	s432	s433	s434	s435	s436	s437	s438	s439	s44	s440	s441	s442	s443	s444	s445	s446	s447	s448	s449	s45	s450	s451	s452	s453	s454	s455	s456	s457	s458	s459	s46	s460	s461	s462	s463	s464	s465	s466	s467	s468	s469	s47	s470	s471	s472	s473	s474	s475	s476	s477	s478	s479	s48	s480	s481	s482	s483	s484	s485	s486	s487	s488	s489	s49	s490	s491	s492	s493	s494	s495	s496	s497	s498	s499	s5	s50	s500	s501	s502	s503	s504	s505	s506	s507	s508	s509	s51	s510	s511	s512	s513	s514	s515	s516	s517	s518	s519	s52	s520	s521	s522	s523	s524	s525	s526	s527	s528	s529	s53	s530	s531	s532	s533	s534	s535	s536	s537	s538	s539	s54	s540	s541	s542	s543	s544	s545	s546	s547	s548	s549	s55	s550	s551	s552	s553	s554	s555	s556	s557	s558	s559	s56	s560	s561	s562	s563	s564	s565	s566	s567	s568	s569	s57	s570	s571	s572	s573	s574	s575	s576	s577	s578	s579	s58	s580	s581	s582	s583	s584	s585	s586	s587	s588	s589	s59	s590	s591	s592	s593	s594	s595	s596	s597	s598	s599	s6	s60	s600	s601	s602	s603	s604	s605	s606	s607	s608	s609	s61	s610	s611	s612	s613	s614	s615	s616	s617	s618	s619	s62	s620	s621	s622	s623	s624	s625	s626	s627	s628	s629	s63	s630	s631	s632	s633	s634	s635	s636	s637	s638	s639	s64	s640	s641	s642	s643	s644	s645	s646	s647	s648	s649	s65	s650	s651	s652	s653	s654	s655	s656	s657	s658	s659	s66	s660	s661	s662	s663	s664	s665	s666	s667	s668	s669	s67	s670	s671	s672	s673	s674	s675	s676	s677	s678	s679	s68	s680	s681	s682	s683	s684	s685	s686	s687	s688	s689	s69	s690	s691	s692	s693	s694	s695	s696	s697	s698	s699	s7	s70	s700	s701	s702	s703	s704	s705	s706	s707	s708	s709	s71	s710	s711	s712	s713	s714	s715	s716	s717	s718	s719	s72	s720	s721	s722	s723	s724	s725	s726	s727	s728	s729	s73	s730	s731	s732	s733	s734	s735	s736	s737	s738	s739	s74	s740	s741	s742	s743	s744	s745	s746	s747	s748	s749	s75	s750	s751	s752	s753	s754	s755	s756	s757	s758	s759	s76	s760	s761	s762	s763	s764	s765	s766	s767	s768	s769	s77	s770	s771	s772	s773	s774	s775	s776	s777	s778	s779	s78	s780	s781	s782	s783	s784	s785	s786	s787	s788	s789	s79	s790	s791	s792	s793	s794	s795	s796	s797	s798	s799	s8	s80	s800	s801	s802	s803	s804	s805	s806	s807	s808	s809	s81	s810	s811	s812	s813	s814	s815	s816	s817	s818	s819	s82	s820	s821	s822	s823	s824	s825	s826	s827	s828	s829	s83	s830	s831	s832	s833	s834	s835	s836	s837	s838	s839	s84	s840	s841	s842	s843	s844	s845	s846	s847	s848	s849	s85	s850	s851	s852	s853	s854	s855	s856	s857	s858	s859	s86	s860	s861	s862	s863	s864	s865	s866	s867	s868	s869	s87	s870	s871	s872	s873	s874	s875	s876	s877	s878	s879	s88	s880	s881	s882	s883	s884	s885	s886	s887	s888	s889	s89	s890	s891	s892	s893	s894	s895	s896	s897	s898	s899	s9	s90	s900	s901	s902	s903	s904	s905	s906	s907	s908	s909	s91	s910	s911	s912	s913	s914	s915	s916	s917	s918	s919	s92	s920	s921	s922	s923	s924	s925	s926	s927	s928	s929	s93	s930	s931	s932	s933	s934	s935	s936	s937	s938	s939	s94	s940	s941	s942	s943	s944	s945	s946	s947	s948	s949	s95	s950	s951	s952	s953	s954	s955	s956	s957	s958	s959	s96	s960	s961	s962	s963	s964	s965	s966	s967	s968	s969	s97	s970	s971	s972	s973	s974	s975	s976	s977	s978	s979	s98	s980	s981	s982	s983	s984	s985	s986	s987	s988	s989	s99	s990	s991	s992	s993	s994	s995	s996	s997	s998	s999	student_id
0	1	1	2	19											21											21					21	21	21	21	21	21	21	2	21	21	21	21	21	21	21	21	21	21	2	21	21	21	21	22	23	23	23	23	23	2	23	24	24	24	25	25	26	26	26	27	3	28	28	28	28	28	28	28	28	28	28	3	28	28	28	28	28	28	29	29	29	29	3	29	29	29	29	29	29	29	29	29	29	4	29	30	30	30	30	30	30	30	31	31	4	31	31	31	31	31	31	31	32	32	32	4	32	32	32	32	32	32	32	32	32	32	2	5	32	33	33	33	33	33	33	33	33	33	5	33	33	33	33	33	33	33	33	33	33	6	33	33	33	33	33	33	33	33	33	33	6	34	34	34	34	34	34	34	34	34	34	6	34	34	34	34	34	34	34	34	34	34	7	34	34	34	34	35	35	35	36	36	36	7	36	36	36	36	36	36	36	36	36	36	7	36	36	36	37	37	38	38	38	38	38	7	38	38	38	38	38	38	38	38	38	38	7	38	38	40	40	40	40	40	40	40	40	2	7	40	41	41	41	41	41	43	43	43	43	7	43	43	43	43	43	43	43	43	43	43	7	43	43	43	44	44	44	44	44	44	44	7	44	44	44	44	44	44	45	45	45	45	7	45	45	45	45	45	45	45	45	45	45	7	45	45	45	45	45	45	45	45	45	45	8	45	45	45	45	45	45	45	45	45	45	8	45	45	45	45	45	45	45	45	45	45	8	45	45	45	45	45	45	45	45	45	45	8	45	45	45	45	45	45	46	46	46	46	2	8	46	46	46	46	46	46	46	46	46	46	8	46	46	46	46	46	46	47	47	47	47	8	47	47	47	47	47	47	47	47	47	47	8	47	47	47	47	47	47	47	47	47	47	8	47	47	48	48	48	48	49	49	49	49	8	49	49	49	49	50	50	50	50	50	50	8	50	50	50	50	51	51	51	51	51	51	8	51	51	51	51	51	51	51	51	51	51	9	51	51	51	51	51	51	51	51	52	52	9	52	52	52	53	53	53	53	54	54	54	2	9	54	55	55	55	55	55	55	55	55	55	10	55	55	55	55	55	55	56	56	66	66	10	67	67	67	67	67	67	67	67	67	68	10	68	68	68	68	68	68	68	68	68	68	10	68	68	69	69	69	69	69	69	69	69	10	69	69	69	69	69	69	69	70	70	70	11	70	70	70	70	70	71	71	73	74	76	11	77	80	80	81	81	81	81	82	83	84	11	84	84	84	84	84	84	85	85	85	85	12	86	86	86	86	86	86	86	86	86	86	2	12	86	86	86	86	86	87	87	87	87	87	12	91	92	92	92	92	92	92	94	94	94	12	94	94	94	94	102	103	103	105	105	105	13											13											13											13											13											13											13											2	13											13											13											14											14											14											14											14											14											14											2	14											14											14											14											14											14											14											15											15											15											2	15											15											15											15											16											16											17											18											18											18											64525
1	1	1	3	9											9											10					10	10	10	10	10	10	10	3	11	11	11	11	11	11	11	11	11	12	3	12	12	12	12	12	12	12	12	12	15	4	15	15	30	30	30	30	36	36	39	39	4	43	43	43	43	43	43	43	43	43	43	4	43	43	43	43	43	43	43	43	43	47	4	47	47	47	47	47	47	53	53	55	68	4	68	68	68	86	86	86	86	86	86	86	4	86	86	86	86	86	86	87	87	87	87	4	87	87	91	91	91	92	103	103	103	103	1	4	103	103	103	103	103	103	105	105	105	105	4	105	105	105	105	105	105	105				4											4											5											5											6											6											6											6											1	6											6											6											6											7											7											7											7											7											7											2	7											7											7											7											7											7											7											7											7											7											2	7											7											7											7											7											7											7											7											7											7											2	7											7											7											7											7											7											7											7											7											7											2	7											8											8											8											8											8											8											8											8											8											2	8											8											8											8											8											8											8											8											8											8											2	8											8											8											8											8											9											9											9											9											9											70363
2	1	1	5	15											15											15					15	15	15	15	15	15	18	5	23	29	29	29	29	29	29	29	29	29	6	31	31	31	32	32	32	32	32	32	32	6	32	32	32	32	32	32	32	32	32	32	6	35	35	35	35	35	35	35	36	36	36	6	36	36	36	36	36	36	36	36	36	36	6	36	36	36	36	36	37	37	38	38	38	6	38	38	38	38	38	40	40	41	41	41	7	43	43	43	43	43	43	43	43	43	43	7	43	43	43	43	44	44	44	45	45	45	5	7	45	45	45	45	45	45	46	52	52	52	7	52	53	53	53	53	53	53	66	67	67	7	67	68	68	68	68	68	68	68	68	68	7	68	68	68	69	69	69	69	69	69	69	7	69	70	70	70	70	70	70	70	70	70	7	84	84	84	84	84	84	103	103	103	103	7											7											7											7											5	7											7											7											7											7											7											7											7											7											7											5	7											8											8											8											8											8											8											8											8											8											5	8											8											8											8											8											8											8											8											8											8											5	8											8											8											8											8											8											8											9											9											9											5	9											9											9											9											9											10											10											10											10											10											5	10											11											11											11											11											11											11											11											11											12											5	12											12											12											12											12											12											12											12											12											15											70677
3	1	1	7	32											32											32					32	32	33	33	33	33	33	7	33	33	33	33	34	34	34	34	34	35	7	36	36	36	36	36	36	36	36	36	36	8	36	36	37	37	38	38	38	38	38	38	8	38	38	38	38	38	38	40	40	40	40	8	41	41	41	41	43	44	44	45	45	45	8	45	45	45	45	45	45	45	45	45	45	8	45	45	45	45	45	45	45	45	45	45	8	45	45	45	45	45	45	45	45	46	46	8	46	46	46	46	49	50	50	50	50	50	3	9	50	51	51	51	51	51	53	53	53	53	9	54	54	54	66	66	67	67	67	67	67	9	67	67	68	68	68	68	69	69	69	69	9	69	69	69	69	69	69	69	69	70	70	10	70	70	70	70	84	84	84	84	84	84	10	84	84	84	85	85	86					10											10											10											10											7	11											11											12											12											12											18											18											19											19											23											7	29											29											29											29											29											29											29											29											29											29											7	29											29											29											29											29											29											29											29											29											31											7	31											31											31											31											31											31											31											31											31											31											7	31											32											32											32											32											32											32											32											32											32											7	32											32											32											32											32											32											32											32											32											32											7	32											32											32											32											32											32											32											32											32											32											70695
4	1	1	7	45											45											45					45	45	45	45	45	45	45	7	45	45	45	47	47	47	47	47	50	50	7	50	50	50	53	53	53	53	53	53	54	7	56	66	67	67	67	67	67	68	68	68	7	68	69	69	69	69	69	69	69	69	70	7	70	80	84	84	84	84	84	85	85		7											7											8											8											2	8											8											8											8											8											8											8											8											8											8											6	8											9											10											10											10											10											10											10											11											11											6	11											11											11											11											12											12											12											12											12											12											6	21											21											21											23											23											29											29											29											29											29											6	29											29											31											31											31											31											31											31											32											33											6	33											33											35											36											36											36											36											36											36											36											6	36											38											38											38											38											38											38											38											38											41											7	41											41											41											43											43											43											44											45											45											45											70699
5	1	1	2	19											19											19					19	21	21	21	21	21	21	3	21	21	21	21	21	21	21	21	21	21	4	21	21	21	21	21	21	22	22	23	23	4	23	23	23	23	23	24	24	24	25	25	4	26	26	26	27	28	28	28	28	28	28	4	28	28	28	28	28	28	28	28	28	28	4	28	28	28	28	28	28	28	28	28	29	4	29	29	29	29	29	29	29	29	29	29	4	29	29	29	29	29	30	30	30	30	30	4	30	31	31	31	31	31	31	31	31	31	2	4	31	31	31	32	32	32	32	32	32	32	4	32	32	32	32	32	32	32	33	33	33	4	33	33	33	33	33	33	33	33	33	33	4	33	33	34	34	34	34	34	34	34	34	4	34	34	34	35	35	35	36	36	36	36	5	36	36	36	36	36	36	36	36	36	36	5	36	36	36	36	36	36	36	36	36	37	5	37	38	38	38	38	38	38	38	38	38	6	38	38	38	38	38	38	38	38	39	40	6	40	40	40	40	40	40	40	40	40	40	2	6	41	41	41	41	41	43	43	43	43	43	7	43	43	43	43	43	43	43	43	43	44	7	44	44	44	44	45	45	45	45	45	45	7	45	45	45	45	45	45	45	45	45	45	7	45	45	45	45	45	45	45	45	45	45	7	45	45	45	45	45	45	45	45	45	45	7	45	45	45	45	46	46	46	46	46	46	7	46	46	46	46	46	46	46	46	47	47	7	47	47	47	47	47	47	47	47	47	47	7	47	47	47	47	47	47	47	47	47	47	2	7	47	47	47	47	48	48	48	48	49	49	7	49	49	49	49	49	49	49	50	50	50	7	50	50	50	50	50	50	50	50	50	50	7	50	50	51	51	51	51	51	51	51	51	7	51	51	51	51	51	51	51	52	52	52	7	52	52	52	53	53	53	53	54	54	54	7	54	54	54	55	55	55	55	55	55	55	8	55	55	55	56	56	56	66	66	67	67	8	67	67	67	67	67	67	67	67	67	68	8	68	68	68	68	68	68	68	68	68	68	2	8	68	68	69	69	69	69	69	69	69	69	8	69	69	69	69	69	70	70	70	70	70	8	70	70	70	70	70	71	73	73	74	79	8	80	82	83	84	84	84	85	85	85	85	8	85	85	85	85	86	86	86	86	86	86	8	86	86	86	86	86	86	86	86	86	86	8	86	86	86	86	87	87	87	89	91	91	8	92	92	92	92	92	94	94	103	103	103	9	103	105	105	105	105	105	105	105	105	105	9	105	105	105	105							2	9											9											10											10											10											10											10											10											10											10											2	10											10											10											11											11											11											12											12											13											13											2	14											14											14											14											15											15											15											15											15											16											2	16											16											16											17											17											18											18											18											19											19											70707
6	1	1	3	23											23											23					26	26	26	27	28	28	28	4	28	28	28	28	28	28	28	28	28	28	4	28	28	28	28	29	29	29	29	29	29	4	29	29	29	29	29	29	29	29	29	29	4	30	30	30	30	30	31	31	31	31	31	4	31	31	31	32	32	32	32	32	32	32	4	32	32	32	32	32	32	32	33	33	33	5	33	33	33	33	33	33	33	33	33	33	5	33	33	33	33	33	33	33	33	34	34	5	34	34	34	34	34	34	34	34	34	34	2	7	34	34	34	34	34	35	35	35	36	36	7	36	36	36	36	36	36	36	36	36	36	7	36	36	36	37	37	37	37	38	38	38	7	38	38	38	38	38	38	38	38	38	38	7	38	38	38	38	38	38	38	40	40	40	7	40	40	40	40	40	40	40	40	40	40	8	40	40	40	41	41	41	41	41	43	43	8	43	43	43	43	43	43	43	43	44	44	8	44	44	44	44	44	44	45	45	45	45	10	45	45	45	45	45	45	45	45	45	45	2	10	45	45	45	45	45	45	45	45	45	45	10	45	45	45	45	45	45	45	45	45	45	10	45	45	45	45	45	45	45	45	45	45	10	45	45	45	45	45	45	45	45	45	45	11	45	45	45	45	45	45	46	46	46	46	11	46	46	46	46	46	46	46	46	46	46	12	47	47	47	47	47	47	47	47	47	47	12	47	47	47	47	47	47	47	47	47	47	13	47	47	47	47	47	47	47	47	47	47	13	47	47	47	47	47	48	48	49	49	49	2	13	49	50	50	50	50	50	50	50	50	50	13	50	50	50	50	50	51	51	51	51	51	13	51	51	51	51	51	51	51	52	52	52	13	52	53	53	53	53	53	53	53	54	54	13	54	54	54	54	54	54	55	55	55	55	14	55	55	56	56	56	56	66	66	66	66	14	67	67	67	67	67	67	67	67	67	67	14	67	67	67	68	68	68	68	69	69	69	14	69	69	69	69	69	69	69	69	69	69	14	69	70	70	70	70	70	70	70	70	70	2	14	70	70	71	71	71	72	72	72	74	74	15	74	74	74	84	84	84	84	84	84	84	15	84	84	84	84	84	84	84	84	85	85	15	85	85	85	85	85	85	85	85	85	85	15	85	85	86	86	86	86	86	86	86	86	15	86	86	86	86	86	86	86	86	86	86	15	86	86	86	87	87	87	87	87	87	87	16	94	94	94	94	94	94	94	94	94	94	16	94	94	94	94	103	103	103	105	105	105	17	105	105	105								2	18											18											18											19											19											19											19											20											21											21											2	21											21											21											21											21											21											21											21											21											21											2	21											21											21											21											21											21											21											21											21											21											3	21											21											21											21											21											21											21											22											22											23											70727
7	1	1	5	29											29											29					29	29	29	29	29	29	29	6	29	29	29	29	29	29	29	29	29	29	7	29	29	29	29	29	29	29	29	29	29	7	29	29	31	31	31	31	31	31	31	31	7	31	31	31	31	31	31	31	31	31	32	7	32	32	32	32	32	32	32	32	32	32	7	32	32	32	32	32	32	32	32	32	32	7	32	32	33	33	33	33	33	33	33	33	7	33	33	33	33	33	33	33	33	33	34	7	34	34	34	34	34	34	34	34	34	34	1	7	34	34	35	35	35	35	35	35	36	36	7	36	36	36	36	36	36	36	36	36	36	7	36	36	36	36	36	36	37	37	37	37	7	37	37	37	38	38	40	40	40	40	40	7	40	40	40	40	40	40	41	41	41	41	8	41	41	41	41	41	41	41	41	41	42	8	42	42	42	42	42	42	43	43	43	43	8	43	43	43	43	43	43	43	43	43	43	8	43	43	43	43	44	44	44	45	45	45	8	45	45	45	45	45	45	45	45	45	45	3	8	45	45	45	45	45	45	45	45	45	45	8	45	46	46	46	47	47	47	47	47	47	8	47	47	47	47	47	47	47	47	47	47	8	47	47	47	47	47	47	47	47	47	47	8	47	47	47	47	47	47	47	47	47	48	8	48	48	49	49	49	49	49	49	49	50	9	50	50	50	50	50	50	50	51	51	51	9	51	51	51	52	52	52	52	52	53	53	9	53	53	53	53	53	54	54	54	54	54	9	54	54	54	55	55	56	56	56	66	66	4	9	67	67	67	67	67	67	67	67	67	67	9	68	68	68	68	68	68	68	68	68	68	9	68	68	68	68	68	69	69	69	69	69	10	69	69	69	69	69	69	69	69	69	69	10	69	69	69	69	69	69	69	69	69	70	11	70	70	70	70	70	70	70	70	70	70	11	70	73	74	80	80	82	84	84	84	84	11	84	84	85	85	85	86	86	86	86	86	12	86	86	86	86	86	87	87	87	92	92	12	105	105	105	105							4	12											12											12											15											15											16											17											17											17											17											4	19											21											21											21											21											21											21											21											21											22											4	22											23											23											23											23											23											23											23											23											23											5	23											23											23											23											23											23											23											23											23											25											5	26											26											26											26											27											27											27											29											29											29											70729
8	1	1	4	32											32											33					33	33	33	33	33	33	33	4	33	33	33	34	34	34	34	34	34	34	4	35	35	36	36	36	36	36	36	36	36	4	36	36	36	36	36	36	36	36	36	36	4	36	37	37	38	38	38	38	38	38	38	7	38	38	38	38	38	38	38	38	40	40	7	40	40	40	40	40	40	40	40	40	40	7	40	41	41	41	41	41	41	42	42	43	7	43	43	43	43	43	43	43	43	44	44	7	45	45	45	45	45	45	45	45	45	45	1	10	45	45	45	45	45	45	45	45	45	45	10	45	45	45	45	45	45	45	45	45	45	11	45	45	45	45	45	45	45	45	45	45	11	45	45	46	46	46	46	46	46	46	46	11	46	46	46	46	46	47	47	47	47	47	12	47	47	47	47	47	47	47	47	47	47	12	47	47	47	47	47	47	47	47	47	47	12	48	49	49	49	49	49	49	49	49	49	18	49	49	49	49	50	50	50	50	50	50	19	50	50	50	50	51	51	51	51	51	51	2	21	51	51	51	51	51	51	51	51	51	51	21	51	52	52	52	52	52	52	52	53	53	21	53	53	53	53	53	54	54	54	54	54	21	54	56	66	66	67	67	67	67	67	67	21	67	67	68	68	68	68	69	69	69	69	21	69	69	69	69	69	69	69	69	69	69	21	69	69	69	69	69	69	69	70	70	70	21	70	70	70	70	70	70	70	70	70	70	21	84	84	84	84	85	85	85	85	85	85	21	85	85	85	85	85	85	85	85	85	85	4	21	102	105	105	105	105	105	105	105	105	105	21	105	105									22											23											23											23											23											23											23											23											4	29											29											29											29											29											29											29											29											29											29											4	29											29											29											29											29											29											29											29											31											31											4	31											31											31											31											31											31											31											31											31											31											4	31											32											32											32											32											32											32											32											32											32											4	32											32											32											32											32											32											32											32											32											32											70730
9	1	1	7	29											29											29					29	29	29	29	29	29	29	7	29	29	31	31	31	31	31	31	31	31	7	32	32	32	32	32	32	32	32	32	32	7	32	32	32	32	33	33	33	33	33	33	7	33	33	33	33	33	33	33	33	33	33	7	33	33	34	34	34	34	34	34	34	34	7	34	34	34	34	34	34	35	35	35	35	7	36	36	36	36	36	36	36	36	36	36	7	36	36	36	36	36	36	36	36	36	36	7	36	36	36	36	36	36	36	36	36	37	1	7	37	37	37	37	37	38	38	38	38	38	8	38	38	38	38	38	38	38	38	38	38	8	38	38	38	38	38	38	40	40	40	40	8	40	40	40	40	40	40	41	41	41	41	8	41	41	41	41	41	42	42	43	43	43	8	43	43	43	43	43	43	43	43	44	44	9	44	44	44	44	44	44	44	44	44	44	9	44	44	44	44	45	45	45	45	45	45	10	45	45	45	45	45	45	45	45	45	45	10	45	45	45	45	45	45	45	45	45	45	2	10	45	45	45	45	45	45	45	45	45	45	10	45	45	45	45	45	45	45	45	45	45	11	45	45	45	45	46	46	46	46	46	46	11	46	46	46	46	46	46	46	46	46	47	12	47	47	47	47	47	47	47	47	47	47	12	47	47	47	47	47	47	47	47	47	47	12	47	48	48	49	49	49	49	49	49	49	12	49	49	49	49	49	49	50	50	50	50	13	50	50	50	50	50	50	50	50	50	51	13	51	51	51	51	51	51	51	51	51	51	2	13	51	52	52	53	53	53	53	53	53	53	13	53	53	53	53	53	53	53	53	53	53	13	53	53	53	53	54	54	54	54	54	54	14	55	55	55	55	55	55	55	56	56	66	14	66	67	67	67	67	67	67	67	67	67	14	67	67	67	67	67	67	67	67	67	67	14	67	67	67	67	67	67	67	67	67	67	14	67	67	67	67	67	67	67	67	67	67	15	68	68	68	68	68	69	69	69	69	69	15	69	69	69	69	69	69	69	69	69	69	2	15	69	69	69	69	69	69	69	69	69	69	15	69	69	70	70	70	70	70	70	70	70	16	70	70	70	83	83	83	83	84	84	84	17	84	85	85	85	85	85	85	85	85	85	17	85	85	85	85	86	86	86	86	86	86	18	86	86	86	86	86	86	91	92	92	92	18	92	92	92	94	103						18											18											19											2	19											19											21											21											21											21											22											22											23											23											6	23											23											27											27											27											27											27											28											28											28											7	28											28											28											28											28											28											28											28											28											28											7	28											28											28											28											28											28											29											29											29											29											70733
